;NO;URAIAN PEKERJAAN;SATUAN;HARGA SATUAN;KETERANGAN;;;
;3.11.4.13;Pemasangan 1 m2 Kawat Nyamuk Rangka Besi ;buah ; Rp192.989,00 ;Revisi;Perubahan di koefisien semua Tenaga Kerja,  judul Teralis Besi Strip satuan buah jadi m2 Rangka Besi, perubahan bahan  dan penambahan perlatan ;;
;3.11.4.13.1;Pemasangan 1 m2 Kawat Nyamuk Rangka Kayu Kelas II ;buah ; Rp99.744,00 ;Revisi ;Penambahan Item sebelumya tidak ada ;;
;3.11.4.14;Pemasangan 1 Buah Kunci Slot (Grendel) untuk Jedela ;buah ; Rp55.924,00 ;Revisi;Perubahan di koefisien bahan grende dari 1,716 jadi 1,00;;
;3.11.4.15;Pemasangan 1 buah engsel jendela kupu-kupu;buah ; Rp65.571,00 ;0;0;;
;3.11.4.16;Pemasangan 1 buah engsel angin;buah ; Rp78.364,00 ;0;0;;
;3.11.4.17;Pemasangan 1 buah spring knip (kunci slot) untuk jendela;buah ; Rp53.322,00 ;Revisi;tidak ada perubahan;;
;3.11.4.18;Pemasangan 1 buah kait angin;buah ; Rp42.762,00 ;0;0;;
;3.11.4.19;Pemasangan 1 buah kunci lemari;buah ; Rp63.233,00 ;0;0;;
;3.11.4.20;Pemasangan 1 buah grendel;buah ; Rp46.062,00 ;0;0;;
;3.11.4.21;Pemasangan 1 buah grendel tanam;buah ; Rp209.343,00 ;0;0;;
;3.11.4.22;Pemasangan 1 buah Handle Jendela ;buah ; Rp75.042,00 ;0;0;;
;3.12 ;PEKERJAAN KACA;;;;;;
;3.12.1;Pemasangan 1 m2 sunscreen alumunium;m2; Rp577.764,00 ;0;0;;
;3.12.2;Pemasangan 1 m2 kaca polos tebal 3 mm;m2; Rp176.583,00 ;0;0;;
;3.12.3;Pemasangan 1 m2 kaca polos tebal 5 mm;m2; Rp270.963,00 ;0;0;;
;3.12.4;Pemasangan 1 m2 kaca polos tebal 6 mm;m2; Rp320.116,00 ;0;0;;
;3.12.5;Pemasangan 1 m2 kaca polos tebal 8 mm;m2; Rp310.004,00 ;0;0;;
;3.12.6;Pemasangan 1 m2 kaca buram tebal 12 mm;m2; Rp435.382,00 ;Revisi;Tidak ada perubahan;;
;3.12.7;Pemasangan 1 m2 kaca cermin tebal 5 mm;m2; Rp268.994,00 ;0;0;;
;3.12.8;Pemasangan 1 m2 kaca cermin tebal 8 mm;m2; Rp996.792,00 ;0;0;;
;3.12.9;Pemasangan 1 m2 kaca wireglass tebal 5 mm;m2; Rp204.770,00 ;0;0;;
;3.12.10;Pemasangan 1 m2 kaca patri tebal 5 mm;m2; Rp1.872.706,00 ;0;0;;
;3.12.11;Pemasangan 1 m2 kaca laminated tebal 16 mm (8 mm double);m2; Rp1.673.026,00 ;0;0;;
;3.12.12;Pemasangan 1 m2 kaca laminated tebal 16 mm (8 mm double) dengan aluminium frame;m2; Rp1.857.641,00 ;0;0;;
;3.12.13;Pemasangan 1 m2 kaca tempered tebal 12 mm;m2; Rp771.807,00 ;0;0;;
;3.12.14;Pemasangan 1 m2 kaca laminated tebal 12 mm dengan aluminium frame;m2; Rp1.329.641,00 ;0;0;;
;3.13;PEKERJAAN BESI DAN ALUMINIUM;;;;;;
;3.13.1;Pemasangan 1 m’ Shalimar Aluminium;m'; Rp88.844,00 ;0;0;;
;3.13.2;Pemasangan 1 m2 profil jalusi aluminium;m2; Rp740.544,00 ;0;0;;
;3.13.3;Pengelasan 1 m’ dengan las listrik ;m'; Rp16.853,00 ;Revisi;Perubaha di koefisien Tenaga kerja dan penghapusan kepala tukang, koefisie baha dan juga peralatan;;
;3.13.4;Pembuatan dan pemasangan 1 m' railing besi pengaman tinggi 1.2 m;m'; Rp488.500,00 ;Revisi;Perubahan koefisien Tenaga keja dan penambahan pealatan ;;
;3.13.5;Pembuatan dan pemasangan 1 m' railing tangga/ramp dan hand rail tinggi 0.85 m dan 0.65 m;m'; Rp301.338,00 ;Revisi;Perubahan Koefisien Tenaga keja da penambahan peralatan;;
;3.13.6;Pemasangan 1 buah Tangga Service tinggi 4 meter ;buah; Rp1.998.249,00 ;ada Revisi;Perubaha di koefisien bahan;;
;3.14;PEKERJAAN KAYU;;;;;;
;3.14.1;Pembuatan 1 m2 Plywood Rangkap, Rangka Expose Kayu Kelas I;; Rp924.260,00 ;0;0;;
;3.14.2;Pembuatan 1 m2 Plywood Lapis Formika, Rangka Expose Kayu Kelas Ii;; Rp696.780,00 ;0;0;;
;3.15;PEKEJAAN MONUMEN DAN ORNAMEN ;;;;;;
;3.15.1;Pemasangan 1 buah jendela ornamen GRC;buah ; Rp728.417,00 ;Revisi;Perubahan koefisien Pekerja 0,3333 jadi 0,333;;
;3.16;PEKERJAAN SIGNAGE;;;;;;
;3.16.1 ;Pemasangan Logo PU ;;;;;;
;3.16.1.1;Pemasangan 1 buah Logo PU plat besi finish cat uk. 80x80 cm dengan scaffolding ;buah; Rp931.685,00 ;Revisi;Perubahan di koefisien pekerja, tukang besi dan penghapusan tukang las, pengurahan bahan dan perubahan koefisien bahan  ;;
;3.16.1.2;Pemasangan Logo PU Pelat Besi Finish Cat ukuran 80x80 cm dengan gendola;buah; Rp22.426.690,00 ;Revisi;Perubahan di koefisien pekerja, tukang besi dan penghapusan tukang las, pengurahan bahan dan perubahan koefisien bahan  ;;
;3.16.2;Pemasangan Signage Plat Baja Menggunakan Tiang ;buah; Rp1.731.224,00 ;Revisi;Perubahan judul item Pemasangan 1 m2 Signage dengan Pelat Besi, perubahan koefisien Tenaga kerja , dan penambahan Bahan ;;
;3.16.2.1;Pemasangan Signage Plat Baja pada Dinding ;buah; Rp1.679.601,00 ;Revisi;Penambahan item ini ;;
;3.16.3;Pemasangan Signage dengan Acrylic;buah; Rp169.180,00 ;0;0;;
;3.16.4;Pemasangan 1 m2 signage dengan cutting;m2; Rp123.249,00 ;0;0;;
;3.16.5;Pemasangan 1 m2 Marka dengan Cat Thermoplast;n2; Rp138.275,00 ;0;0;;
;3.16.6;Pemasangan 1 buah Logo PU Akrilik ukuran 40x40 cm;buah; Rp455.757,00 ;Revisi;Perubahan Nama bahan dan penghapusan peralatan ;;
;3.16.7;Pemasangan 1 buah Nomor Rumah Akrilik ukuran 15x30 cm ;buah; Rp76.257,00 ;Revisi; penghapusan peralatan ;;
;3.17 ;PEKERJAAN FASAD ( Dalam proses Pengembangan dan Kajian);;;;;;
;3.18;PEKERJAAN SANITAIR;;;;;;
;3.18.1;WESTAFEL;;;;;;
;3.18.1.1;Pemasangan 1 buah wastafel;buah; Rp643.786,00 ;0;0;;
;3.18.2;KITCHEN SINK;; Rp- ;0;0;;
;3.18.2.1;Pemasangan 1 buah Bak Cuci Piring Stainlessteel ;buah; Rp666.875,00 ;0;0;;
;3.18.2.2;Pemasangan 1 Buah Bak Cuci Piring Teraso ;buah; Rp1.152.239,00 ;0;0;;
;3.18.3 ;KLOSET ;; Rp- ;0;0;;
;3.18.3.1;Pemasangan 1 buah closet duduk/monoblock;buah; Rp2.015.640,00 ;0;0;;
;3.18.3.2;Pemasangan 1 buah closet jongkok;buah; Rp428.142,00 ;0;0;;
;3.18.3.3;Pemasangan 1 m2 kubikel toilet;m2; Rp2.279.711,00 ;0;0;;
;3.18.4;URINOIR;; Rp- ;0;0;;
;3.18.4.1;Pemasangan 1 buah urinoir;buah; Rp810.161,00 ;0;0;;
;3.18.4.2;Pemasangan 1 buah partisi urinoir;buah; Rp1.011.232,00 ;0;0;;
;3.18.5;BAK AIR ;; Rp- ;0;0;;
;3.18.5.1;Pemasangan 1 buah bak mandi teraso vol. 0,3 m3;buah; Rp1.722.875,00 ;0;0;;
;3.18.5.2;Pemasangan 1 buah bak mandi pasangan bata vol. 0,3 m3;buah; Rp1.992.100,00 ;0;0;;
;3.18.5.3;Pemasangan 1 buah bak fiberglass vol. 0,3 m3;buah; Rp648.934,00 ;0;0;;
;3.18.5.4;Pemasangan 1 buah bak fiberglass vol. 1 m3;buah; Rp727.743,00 ;0;0;;
;3.18.5.5;Pemasangan 1 buah bak beton vol. 1 m3;buah; Rp7.977.628,00 ;0;0;;
;3.18.5.6;Pemasangan 1 buah bathup;buah; Rp2.962.712,00 ;0;0;;
;3.18.6;AKSESORIS SANITAIR;; Rp- ;0;0;;
;3.18.6.1;Pemasangan 1 buah floor drain stainless steel;buah; Rp68.871,00 ;0;0;;
;3.18.6.2;Pemasanga 1 Buah Kran ;buah; Rp- ;0;0;;
;3.18.6.2.1;"Pemasangan 1 buah kran diameter ½"" atau 3/4""";buah; Rp121.552,00 ;0;0;;
;3.18.6.3;Pemasangan 1 buah jet washer;buah; Rp185.682,00 ;0;0;;
;3.18.6.4;Pemasangan 1 buah gantungan baju (robe hook);buah; Rp96.701,00 ;0;0;;
;3.18.6.5;Pemasangan 1 buah towel bar;buah; Rp184.701,00 ;0;0;;
;3.18.6.6;Pemasangan 1 buah grab bar;buah; Rp151.701,00 ;0;0;;
;3.18.6.7;Pemasangan 1 buah soap holder;buah; Rp184.701,00 ;0;0;;
;3.18.6.8;Pemasangan 1 buah tissue holder;buah; Rp184.701,00 ;0;0;;
;3.18.6.9;Pemasangan 1 buah Shower Set;buah; Rp75.682,00 ;0;0;;
;4;PEKERJAAN LANSEKAP ;;;;;;
;4.1 ;Pekerjaan Penanaman Taman ;;;;;;
;4.1.1;HSD Pengadaan dan Pengangkutan Tanaman ;;;;;;
;4.1.1.1;Analisa Biaya Operasi Alat Berat untuk Pengangkutan Tanaman ;buah;  - ;Revisi;Judul dan semua item ini diganti ;;
;4.1.1.2;Analisis Produktivitas Truck Angkutan Pohon Kecil di Polybag 20 Liter ;buah;  - ;Revisi;Judul dan semua ;;
;4.1.1.3;Pengadaan dan Pengangkutan Pohon Kecil di Polybag 20 Liter ;buah; Rp394.165,00 ;Revisi ;semua ;;
;4.1.1.4;Analisis Produktivitas Truck Angkut Pohon Kecil di Polybag 25 Liter  ;buah;  - ;Revisi;Semuanya mulai dari judul item ;;
;4.1.1.5;Pengadaan dan Pengangkutan Pohon Kecil di Polybag 25 Liter ;buah; Rp452.766,00 ;Revisi ;Perubahan semua mulai dr judul item ;;
;4.1.1.6;Analisis Produktivitas Truck Angkutan Pohon Sedang di Polybag 50 Liter ;buah; Rp- ;Baru ;Penambahan Item ini sebelumnya tidak ada ;;
;4.1.1.7;Pengadaan dan Pengangkutan Pohon Sedang di Polybag 50 Liter ;buah; Rp563.309,00 ;Baru ;Penambahan item ini;;
;4.1.1.8;Analisis Poduktivitas Truck Angkutan Pohon Sedang di Polybag 75 Liter ;buah; Rp- ;Baru ;Penambahan Item ini sebelumnya tidak ada ;;
;4.1.1.9;Pengadaan dan Pengangkutan Pohon Sedang di Polybag 75 Liter ;buah; Rp600.099,00 ;Baru ;Penambahan item ini;;
;4.1.1.10;Analisis Poduktivitas Truck Angkutan Pohon Sedang di Polybag 100 Liter ;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.11;Pengadaan dan Pengangkutan Pohon Besar di Polybag 100 Liter ;buah; Rp594.856,00 ;Baru ;Penambahan item ini;;
;4.1.1.12;Analisis Poduktivitas Truck Angkutan Pohon Sedang di Polybag 150 Liter ;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.13;Pengadaan dan Pengangkutan Pohon Besar di Polybag 150 Liter ;buah; Rp631.047,00 ;Baru ;Penambahan item ini;;
;4.1.1.14;Analisis Poduktivitas Truck Angkutan Pohon Sedang di Polybag 200 Liter ;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.15;Pengadaan dan Pengangkutan Pohon Besar di Polybag 200 Liter ;buah; Rp837.350,00 ;Baru ;Penambahan item ini;;
;4.1.1.16;Analisis Poduktivitas Truck Angkutan Pohon Sedang di Polybag 250 Liter ;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.17;Pengadaan dan Pengangkutan Pohon Besar di Polybag 250 Liter ;buah; Rp965.357,00 ;Baru ;Penambahan item ini;;
;4.1.1.18;Analisis Poduktivitas Truck Angkutan Semak di Polybag 5 Liter Liter ;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.19;Pengadaan dan Pengangkutan Semak di Polybag 5 Liter;buah; Rp14.623,00 ;Baru ;Penambahan item ini;;
;4.1.1.20;Analisis Poduktivitas Truck Angkutan Semak di Polybag 11 Liter ;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.21;Pengadaan dan Pengangkutan Semak di Polybag 11 Liter;buah; Rp21.390,00 ;Baru ;Penambahan item ini;;
;4.1.1.22;Analisis Poduktivitas Truck Angkutan Semak di Polybag 20 Liter ;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.23;Pengadaan dan Pengangkutan Semak di Polybag 20 Liter;buah; Rp36.021,00 ;Baru ;Penambahan item ini;;
;4.1.1.24;Analisis Poduktivitas Truck Angkutan Penutup Tanah;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.25;Pengadaan dan Pengangkutan Penutup Tanah ;buah; Rp8.788,00 ;Baru ;Penambahan item ini;;
;4.1.1.26;Analisis Poduktivitas Truck Angkutan Rumput;buah; Rp- ;Baru ;Item Baru ;;
;4.1.1.27;Pengadaan dan Pengangkutan Rumput;buah; Rp28.579,00 ;Baru ;Penambahan item ini;;
;4.1.1.28;Harga Satuan Dasar Water Truck untuk Penyiraman ;buah; Rp- ;Baru ;Item Baru ;;
;4.1.2;Penanaman Pohon;buah; Rp- ;0;0;;
;4.1.2.1;Pohon Kecil , Polibag 20 L ;buah; Rp- ;0;0;;
;4.1.2.1.1;Penanaman 1 Buah Pohon Kecil Bungan Mentega (Natrium Oleander ) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ;buah; Rp170.893,00 ;Revisi;Perubahan mulai dr judul item, penambahan tenaga kerja ;;
;4.1.2.1.2;Penanaman 1 Buah Pohon Kecil Bunga Terompet Kuning (Tecoma Stans) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ;buah; Rp170.893,00 ;Revisi;Item baru ;;
;4.1.2.1.3;Penanaman 1 Buah Pohon Kecil Bungur Sakura / Bungur Jepang (Lagerstromia indica) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ;buah; Rp188.218,00 ;Revisi;Item baru ;;
;4.1.2.1.4;Penanaman 1 Buah Pohon Kecil Cassia Glauca / Hujan Emas (Sena Surttensis) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ;buah; Rp193.993,00 ;Revisi;Item baru ;;
;4.1.2.1.5;"Penanaman 1 Buah Pohon Kecil Dracaena ' song of india' (Dracaena Reflexa ""sog of india) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp205.543,00 ;Revisi;Item baru ;;
;4.1.2.1.6;"Penanaman 1 Buah Pohon Kecil Dracaena 'Song of Jamaica'
(Dracaena Reflexa ""Song of Jamaica"") Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp211.318,00 ;Revisi;Item baru ;;
;4.1.2.1.7;"Penanaman 1 Buah Pohon Kecil Jarak Batavia (Jatropha
Integerrima) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp217.093,00 ;Revisi;Item baru ;;
;4.1.2.1.8;"Penanaman 1 Buah Pohon Kecil Kayu Putih Kuning (Melaleuca
Revolution Gold) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp222.868,00 ;Revisi;Item baru ;;
;4.1.2.1.9;"Penanaman 1 Buah Pohon Kecil Bugenvil/Bunga Kertas
(Bougainvillea sp.) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp228.643,00 ;Revisi;Item baru ;;
;4.1.2.1.10;"Penanaman 1 Buah Pohon Kecil Penda Merah (Xanthostemon
Youngii) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp234.418,00 ;Revisi;Item baru ;;
;4.1.2.1.11;"Penanaman 1 Buah Pohon Kecil Pucuk Merah (Syzygium
Myrtifolium) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp419.218,00 ;Revisi;Item baru ;;
;4.1.2.1.12;"Penanaman 1 Buah Pohon Kecil Sikat Botol (Callistemon
Viminalis) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp188.218,00 ;Revisi;Item baru ;;
;4.1.2.1.13;Penanaman 1 Buah Pohon Kecil Thevetia (Thevetia Peruviana) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ;buah; Rp211.318,00 ;Revisi;Item baru ;;
;4.1.2.1.14;Penanaman 1 Buah Pohon Kecil Turi (Sesbania Grandiflora) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ;buah; Rp222.868,00 ;Revisi;Item baru ;;
;4.1.2.1.15;"Penanaman 1 Buah Pohon Kecil Kembang Merak (Caesalpinia
Pulcherrima)Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp257.518,00 ;Revisi;Item baru ;;
;4.1.2.1.16;"Penanaman 1 Buah Pohon Kecil Pandan Bali (Cordyline
Australis) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ";buah; Rp245.968,00 ;Revisi;Item baru ;;
;4.1.2.1.17;Penanaman 1 Buah Pohon Kecil Yucca (Yucca sp.) Diameter 1-2 cm, Tinggi 2-2,5 Meter, Polibag 20 L ;buah; Rp234.418,00 ;Revisi;Item baru ;;
;4.1.2.2;Poho Kecil, Polybag 25 L;; Rp- ;0;0;;
;4.1.2.2.1;Penanaman 1 Buah Pohon Kecil Bugan Mentega (Natrium Oleande) Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ;buah; Rp192.363,00 ;Revisi;mulai dari penomoran dan judul ;;
;4.1.2.2.2;"Penanaman 1 Buah Pohon Kecil Bunga Terompet Kuning
(Tecoma stans) Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ";buah; Rp192.363,00 ;Revisi;Item Baru;;
;4.1.2.2.3;"Penanaman 1 Buah Pohon Kecil Bunga Terompet Kuning
(Tecoma stans)Bungur Sakura/Bungur Jepang
(Lagerstroemia indica), Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ";buah; Rp221.238,00 ;Revisi;Item Baru;;
;4.1.2.2.4;"Penanaman 1 Buah Pohon KecilCassia Glauca (Senna
Surattensis), Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ";buah; Rp215.463,00 ;Revisi;Item Baru;;
;4.1.2.2.5;"Penanaman 1 Buah Pohon Kecil Dracaena ‘Song of India’
(Dracaena reflexa ""song of india""), Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ";buah; Rp227.013,00 ;Revisi;Item Baru;;
;4.1.2.2.6;"Penanaman 1 Buah Pohon Kecil Dracaena 'Song of Jamaica'
(Dracaena reflexa ""song of jamaica""), Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ";buah; Rp238.563,00 ;Revisi;Item Baru;;
;4.1.2.2.7;Penanaman 1 Buah Pohon Kecil Jarak Batavia (Jatropha Integerrima), Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ;buah; Rp238.563,00 ;Revisi;Item Baru;;
;4.1.2.2.8;Penanaman 1 Buah Pohon Kecil Kayu Putih Kuning (Melaleuca Revolution Gold),  Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ;buah; Rp238.563,00 ;Revisi;Item Baru;;
;4.1.2.2.9;Penanaman 1 Buah Pohon Kecil Pucuk Merah (Syzygium Myrtifolium), Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ;buah; Rp250.113,00 ;Revisi;Item Baru;;
;4.1.2.2.10;"Penanaman 1 Buah Pohon Kecil Sikat Botol (Callistemon
Viminalis),  Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ";buah; Rp209.688,00 ;Revisi;Item Baru;;
;4.1.2.2.11;Penanaman 1 Buah Pohon Kecil Kecil Thevetia (Thevetia peruviana),  Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ;buah; Rp238.563,00 ;Revisi;Item Baru;;
;4.1.2.2.12;Penanaman 1 Buah Pohon Kecil Turi (Sesbania Grandiflora),  Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ;buah; Rp238.563,00 ;Revisi;Item Baru;;
;4.1.2.2.13;Penanaman 1 Buah Pohon Kecil Turi (Sesbania Grandiflora),  Diameter 2-3 cm, Tinggi 2-2,5 meter, Polybag 25 L ;buah; Rp238.563,00 ;Revisi;Item Baru;;
;4.1.2.3;Pohon Sedang, Polybag 50 L;; Rp- ;0;0;;
;4.1.2.3.1;Penanaman 1 Buah Pohon Sedang Bintaro (Cerbera Manghas), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp300.341,00 ;Revisi;Item Baru;;
;4.1.2.3.2;"Penanaman 1 Buah Pohon Sedang Bunga Kupu-Kupu (Bauhinia
Blakeana/Purpurea),, Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ";Buah; Rp623.741,00 ;Revisi;Item Baru;;
;4.1.2.3.3;Penanaman 1 Buah Pohon Sedang Bunga Terompet Kuning (Tecoma stans), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp277.241,00 ;Revisi;Item Baru;;
;4.1.2.3.4;Penanaman 1 Buah Pohon Sedang Bunga Flamboyan (Delonix Regia), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp288.791,00 ;Revisi;Item Baru;;
;4.1.2.3.5;Penanaman 1 Buah Pohon Sedang Flamboyan Kuning (Peltophorum Pterocarpum), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp288.791,00 ;Revisi;Item Baru;;
;4.1.2.3.6;Penanaman 1 Buah Pohon Sedang Janda Merana (Salix Babilonica), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp300.341,00 ;Revisi;Item Baru;;
;4.1.2.3.7;Penanaman 1 Buah Pohon Sedang Ketapang kencana (Terminalia mantaly), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp306.116,00 ;Revisi;Item Baru;;
;4.1.2.3.8;Penanaman 1 Buah Pohon Sedang Sosis (Kigelia Africana), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp306.116,00 ;Revisi;Item Baru;;
;4.1.2.3.9;Penanaman 1 Buah Pohon Sedang Tabebuya (Tabebuia sp.) Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp306.116,00 ;Revisi;Item Baru;;
;4.1.2.3.10;Penanaman 1 Buah Pohon Sedang Waru (Hibiscus Tiliaceus), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp306.116,00 ;Revisi;Item Baru;;
;4.1.2.3.11;Penanaman 1 Buah Pohon Sedang Waru (Hibiscus Tiliaceus), Diameter 3-5 cm, Tinggi 3-4 Meter, Polybag 50 L ;Buah; Rp306.116,00 ;Revisi;Item Baru;;
;4.1.2.4;Pohon Sedang, Polybag 75 L;; Rp- ;0;0;;
;4.1.2.4.1;Penanaman 1 Buah Poho Sedang Bitaro (Cerbera Manghas), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.2;Penanaman 1 Buah Poho Sedang Biola Cantik (Ficus Lyrata), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.3;Penanaman 1 Buah Poho Sedang Bunga Kupu-Kupu (Bauhinia Blakeana/Purpurea), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp675.736,00 ;Revisi;Item Baru;;
;4.1.2.4.4;Penanaman 1 Buah Poho Sedang Bungur (Lagerstroemia Speciosa),  Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.5;Penanaman 1 Buah Poho Sedang Flamboyan (Delonix Regia),  Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.6;Penanaman 1 Buah Poho Sedang Flamboyan Kuning (Peltophorum Pterocarpum),  Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.7;Penanaman 1 Buah Poho SedangJanda Merana (Salix Babilonica), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.8;Penanaman 1 Buah Poho Sedang Kamboja (Plumeria Sp.), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.9;Penanaman 1 Buah Poho Sedang Keben (Barringtonia Asiatica), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.10;"Penanaman 1 Buah Poho Sedang Kecrutan (Spathodea
Campanulata), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L";Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.11;Penanaman 1 Buah Poho Sedang Ketapang Kencana (Terminalia Mantaly), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp467.836,00 ;Revisi;Item Baru;;
;4.1.2.4.12;"Penanaman 1 Buah Poho Sedang Mahoni (Swietenia
Mahagoni), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L";Buah; Rp236.836,00 ;Revisi;Item Baru;;
;4.1.2.4.13;Penanaman 1 Buah Poho Sedang Pulai (Alstonia Scholaris),, Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp236.836,00 ;Revisi;Item Baru;;
;4.1.2.4.14;Penanaman 1 Buah Poho Sedang Putat (Planchonia Valida), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp236.836,00 ;Revisi;Item Baru;;
;4.1.2.4.15;Penanaman 1 Buah Poho Sedang Sosis (Kigelia Africana), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp236.836,00 ;Revisi;Item Baru;;
;4.1.2.4.16;Penanaman 1 Buah Poho Sedang Tabebuya (Tabebuia Sp.), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp236.836,00 ;Revisi;Item Baru;;
;4.1.2.4.17;Penanaman 1 Buah Poho Sedang Trembesi (Samanea Saman), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp236.836,00 ;Revisi;Item Baru;;
;4.1.2.4.18;Penanaman 1 Buah Poho Sedang Waru (Hibiscus Tiliaceus), Diameter 5-7 cm, Tinggi 3-4 Meter Polybag 75 L;Buah; Rp352.336,00 ;Revisi;Item Baru;;
;4.1.2.5;Pohon Besar, Polybag 100 L;; Rp- ;0;0;;
;4.1.2.5.1;Penanaman 1 Buah Pohon Besar Pohon Beringi (Ficus Benjamine), Diameter 7-15 cm, Tinggi diatas 5 meter, Polybag 100 L;Buah; Rp575.556,00 ;Revisi;Item Baru;;
